Country Name,Continental region,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2022,consumption_price_2014,consumption_price_2015,consumption_price_2016,consumption_price_2017,consumption_price_2018,consumption_price_2019,consumption_price_2022
Poland,EASTERN EUROPE,539081000000.0,477111000000.0,470025000000.0,524641000000.0,588780000000.0,596058000000.0,688177000000.0,19492044000.0,21116904000.0,21708213000.0,20645990424.0,19984656912.0,20824317291.999985,30035815842.0
Portugal,WESTERN EUROPE,229902000000.0,199394000000.0,206426000000.0,221358000000.0,242313000000.0,239987000000.0,251945000000.0,12780502999.999996,13867304000.0,8666755926.0,8292942311.999999,12322045260.0,10835930556.0,14593718440.0
Romania,EASTERN EUROPE,199714000000.0,177884000000.0,185288000000.0,210147000000.0,243316000000.0,251018000000.0,301262000000.0,4168528000.0,4071426000.0,4007070000.000001,3908856720.0,2936880052.0,4564955636.0,7991679872.0
Saudi Arabia,NEAR EAST,766606000000.0,669484000000.0,666000000000.0,714995000000.0,846584000000.0,838565000000.0,1108150000000.0,17311702000.0,18984105000.0,27561150000.0,28099586450.000004,23756002480.0,22319360594.0,15401060505.2784
Singapore,ASIA (EX. NEAR EAST),314864000000.0,307999000000.0,319030000000.0,343273000000.0,376870000000.0,376837000000.0,466789000000.0,7795687200.000001,5369059400.0,3938463000.0,4963770000.0,5147011800.0,2845161000.0,13062582400.0
South Africa,SUB-SAHARAN AFRICA,381199000000.0,346710000000.0,323586000000.0,381449000000.0,404159000000.0,388531000000.0,405870000000.0,20548836000.0,19156605000.0,33785752000.0,32966471000.0,32670852000.0,32702084940.0,30595497286.41324
Spain,WESTERN EUROPE,1371820000000.0,1196160000000.0,1233550000000.0,1313250000000.0,1421700000000.0,1394320000000.0,1397510000000.0,53893686000.0,59874795000.0,38131539000.0,47089522000.0,60950712000.0,62962900000.0,86015237000.0
Sweden,WESTERN EUROPE,581964000000.0,505104000000.0,515655000000.0,541019000000.0,555455000000.0,533880000000.0,585939000000.0,17377764999.99999,17193575000.0,15846839999.999998,14520329999.999998,13449618000.0,13373776000.0,44171988000.0
Thailand,ASIA (EX. NEAR EAST),407339000000.0,401296000000.0,413366000000.0,456357000000.0,506754000000.0,543977000000.0,495341000000.0,28862748000.000004,29066850999.99998,27744000000.0,23356493874.0,23694048000.0,26465111862.99998,24965994954.371788
United Arab Emirates,NEAR EAST,414105000000.0,370275000000.0,369255000000.0,390517000000.0,427049000000.0,417990000000.0,507535000000.0,10313238200.0,12746810699.999989,13498714400.0,14081691900.0,12802845000.0,13073536300.0,10633855263.65216
United Kingdom,WESTERN EUROPE,3065220000000.0,2934860000000.0,2699660000000.0,2683490000000.0,2878150000000.0,2857060000000.0,3070670000000.0,46445550000.0,48256416000.0,47963665000.0,49120935458.0,52670284963.99999,53542847628.0,117015928743.9677
United States,NORTHERN AMERICA,17550700000000.0,18206000000000.0,18695100000000.0,19477300000000.0,20533100000000.0,21381000000000.0,25462700000000.0,592072832000.0,595990845000.0,643209803999.9996,645234708948.0,691325642052.0,717569556166.0,738996985372.2839
Uzbekistan,CIS (FORMER USSR),80845385816.0,86196264742.0,86138288633.0,62081322741.0,52870108218.0,60283503705.0,80391853885.0,3265504000.0,3225829000.0,3441535500.0,3763099600.000001,3346527364.8,3091026016.0,1648283707.9610715
Vietnam,ASIA (EX. NEAR EAST),233451000000.0,239258000000.0,257096000000.0,281354000000.0,310106000000.0,334365000000.0,408802000000.0,15435240000.000002,16667227999.999985,18535755999.999985,20958360000.0,23702223000.0,25881111111.111248,19255854117.548
