Côte d'Ivoire,CIV,SUB-SAHARAN AFRICA,0.121,0.126,0.139,0.12,0.118,0.126,0.1027420702,0.2346666666666667,0.19343333333333332
Croatia,HRV,EASTERN EUROPE,0.184,0.184,0.162,0.171,0.176,0.168,0.0985517166759999,0.30833333333333335,0.23176666666666668
Cyprus,CYP,NEAR EAST,0.254,0.2,0.187,0.175,0.149,0.191,0.2078794680131249,0.382,0.2701
Czech Republic,CZE,EASTERN EUROPE,0.177,0.153,0.138,0.121,0.121,0.138,0.130453810608,0.453,0.3651
Denmark,DNK,WESTERN EUROPE,0.147,0.145,0.225,0.214,0.203,0.242,0.350000112,0.579,0.5291
Djibouti,DJI,SUB-SAHARAN AFRICA,0.228,0.228,0.26,0.26,0.255,0.262,0.2886144384,0.42733333333333334,0.3937666666666667
Dominica,DMA,CARIBBEAN,0.465,0.365,0.3339999999999999,0.352,0.345,0.368,0.2322343673625,0.27566666666666667,0.25843333333333335
Dominican Republic,DOM,CARIBBEAN,0.25,0.245,0.22,0.213,0.204,0.201,0.2278548027,0.124,0.1231
Ecuador,ECU,SOUTH AMERICA,0.079,0.099,0.107,0.125,0.1169999999999999,0.119,0.105,0.096,0.0961
"Egypt, Arab Rep.",EGY,Northern Africa,0.108,0.115,0.109,0.121,0.08,0.0969999999999999,0.16685713,0.16799999999999998,0.17010000000000003
El Salvador,SLV,CENTRAL AMERICA,0.213,0.192,0.14,0.158,0.1669999999999999,0.195,0.22871426,0.24,0.2441
Equatorial Guinea,GNQ,SUB-SAHARAN AFRICA,0.22,0.2269999999999999,0.233,0.214,0.17,0.174,0.158352792,0.291,0.2691
Eritrea,ERI,Sub-Saharan Africa,0.2189999999999999,0.17049999999999996,0.169,0.1565,0.1275,0.13849999999999998,0.14190482199999993,0.342,0.29410000000000003
Estonia,EST,BALTICS,0.1119999999999999,0.114,0.105,0.099,0.085,0.103,0.1254568519999999,0.393,0.3191
Eswatini,SWZ,SUB-SAHARAN AFRICA,0.206,0.2,0.136,0.15,0.162,0.165,0.1112064160308,0.098,0.0951
Ethiopia,ETH,SUB-SAHARAN AFRICA,0.047,0.047,0.044,0.0409999999999999,0.039,0.036,0.0346560843875,0.006,0.0061
Fiji,FJI,OCEANIA,0.247,0.24,0.222,0.211,0.203,0.218,0.1437135450366,0.231,0.1206
Finland,FIN,WESTERN EUROPE,0.1639999999999999,0.143,0.127,0.118,0.113,0.133,0.1376180900999999,0.456,0.2351
France,FRA,WESTERN EUROPE,0.142,0.143,0.145,0.136,0.13,0.136,0.173181475,0.218,0.2141
Gabon,GAB,SUB-SAHARAN AFRICA,0.222,0.226,0.212,0.1939999999999999,0.1889999999999999,0.191,0.18284489524,0.205,0.1991
"Gambia, The",GMB,Sub-Saharan Africa,0.29,0.254,0.237,0.211,0.2,0.2019999999999999,0.135639086395385,0.141,0.1376
Georgia,GEO,CIS (FORMER USSR),0.0819999999999999,0.079,0.098,0.074,0.065,0.066,0.08843327755077,0.077,0.0761
Germany,DEU,WESTERN EUROPE,0.292,0.285,0.266,0.3379999999999999,0.322,0.256,0.3227011999999999,0.557,0.5201
Ghana,GHA,SUB-SAHARAN AFRICA,0.271,0.254,0.193,0.245,0.222,0.236,0.125185526076787,0.033,0.0291
Greece,GRC,EASTERN EUROPE,0.141,0.156,0.222,0.207,0.195,0.204,0.16743662745,0.273,0.1981
Grenada,GRD,CARIBBEAN,0.3979999999999999,0.298,0.239,0.2769999999999999,0.276,0.309,0.29146546293,0.277,0.2346
Guatemala,GTM,CENTRAL AMERICA,0.214,0.166,0.142,0.123,0.1939999999999999,0.201,0.1644259587264,0.281,0.2711
