Costa Rica,CRI,CENTRAL AMERICA,0.252,0.257,0.245,0.146,0.14400000000000002,0.14400000000000002,0.110078408,0.161,0.1551
Côte d'Ivoire,CIV,SUB-SAHARAN AFRICA,0.121,0.126,0.139,0.12,0.11800000000000001,0.126,0.10274207020000001,,
Croatia,HRV,EASTERN EUROPE,0.184,0.184,0.162,0.171,0.17600000000000002,0.168,0.09855171667599999,,
Cyprus,CYP,NEAR EAST,0.254,0.2,0.187,0.175,0.149,0.191,0.20787946801312499,0.382,0.2701
Czech Republic,CZE,EASTERN EUROPE,0.177,0.153,0.138,0.121,0.121,0.138,0.130453810608,0.453,0.3651
Denmark,DNK,WESTERN EUROPE,0.147,0.145,0.225,0.214,0.203,0.242,0.350000112,0.579,0.5291
Djibouti,DJI,SUB-SAHARAN AFRICA,0.228,0.228,0.26,0.26,0.255,0.262,0.2886144384,,
Dominica,DMA,CARIBBEAN,0.465,0.365,0.33399999999999996,0.35200000000000004,0.345,0.368,0.2322343673625,,
Dominican Republic,DOM,CARIBBEAN,0.25,0.245,0.22,0.213,0.204,0.201,0.22785480270000005,0.124,0.1231
Ecuador,ECU,SOUTH AMERICA,0.079,0.099,0.107,0.125,0.11699999999999999,0.11900000000000001,0.105,0.096,0.0961
"Egypt, Arab Rep.",EGY,Northern Africa,0.10800000000000001,0.115,0.109,0.121,0.08,0.09699999999999999,,,
El Salvador,SLV,CENTRAL AMERICA,0.213,0.192,0.14,0.158,0.16699999999999998,0.195,0.22871426,0.24,0.2441
Equatorial Guinea,GNQ,SUB-SAHARAN AFRICA,0.22,0.22699999999999998,0.233,0.214,0.17,0.174,0.15835279200000002,,
Eritrea,ERI,Sub-Saharan Africa,0.21899999999999997,,,,,,,,
Estonia,EST,BALTICS,0.11199999999999999,0.114,0.105,0.099,0.085,0.10300000000000001,0.12545685199999998,0.393,0.3191
Eswatini,SWZ,SUB-SAHARAN AFRICA,0.20600000000000002,0.2,0.136,0.15,0.162,0.165,0.1112064160308,0.098,0.0951
Ethiopia,ETH,SUB-SAHARAN AFRICA,0.047,0.047,0.044000000000000004,0.040999999999999995,0.039,0.036000000000000004,0.0346560843875,0.006,0.0061
Fiji,FJI,OCEANIA,0.247,0.24,0.222,0.21100000000000002,0.203,0.218,0.1437135450366,,
Finland,FIN,WESTERN EUROPE,0.16399999999999998,0.14300000000000002,0.127,0.11800000000000001,0.113,0.133,0.13761809009999998,0.456,0.2351
France,FRA,WESTERN EUROPE,0.142,0.14300000000000002,0.145,0.136,0.13,0.136,0.173181475,0.218,0.2141
Gabon,GAB,SUB-SAHARAN AFRICA,0.222,0.226,0.212,0.19399999999999998,0.18899999999999997,0.191,0.18284489524,0.205,0.1991
