Country Name,2014,2015,2016,2017,2018,2019,2020,2021,2022
Timor-Leste,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Togo,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Tonga,"> 12,735","4,036-12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Trinidad and Tobago,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Tunisia,"> 12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Türkiye,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Turkmenistan,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Turks and Caicos Islands,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Tuvalu,"> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535","> 12,695","> 13,205","> 13,845"
Uganda,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Ukraine,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
United Arab Emirates,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
United Kingdom,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
United States,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Uruguay,"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
Uzbekistan,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Vanuatu,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
"Venezuela, RB","> 12,735","> 12,475","> 12,235","> 12,055","> 12,375","> 12,535",,,
Viet Nam,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Virgin Islands (U.S.),"> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735","> 12,735"
West Bank and Gaza,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","> 13,845"
"Yemen, Rep.","4,126-12,735","4,036-12,475","3,956-12,235","996-3,895","1,026-3,995","1,036 - 4,045","1,046 - 4,095","1,086 - 4,255","1,136 - 4,465"
Zambia,"4,126-12,735","4,036-12,475","3,956-12,235","3,896-12,055","3,996-12,375","4,046 - 12,535","4,096 - 12,695","1,086 - 4,255","4,466 - 13,845"
Zimbabwe,"1,046-4,125","1,026-4,035","1,006-3,955","996-3,895","3,996-12,375","4,046 - 12,535","4,096 - 12,695","4,256 - 13,205","4,466 - 13,845"
Czechoslovakia (former),,,,,,,,,
Mayotte,,,,,,,,,
Netherlands Antilles (former),,,,,,,,,
Serbia and Montenegro (former),,,,,,,,,
USSR (former),,,,,,,,,
Yugoslavia (former),,,,,,,,,
