Continental Region,Country Name,weather_2014,weather_2015,weather_2016,weather_2017,weather_2018,weather_2019,weather_2022,gdp_2014,gdp_2015,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2022,consumption_price_2014,consumption_price_2015,consumption_price_2016,consumption_price_2017,consumption_price_2018,consumption_price_2019,consumption_price_2022,poverty_index_2014,poverty_index_2015,poverty_index_2016,poverty_index_2017,poverty_index_2018,poverty_index_2019,poverty_index_2022
Asia,Singapore,0.55,0.56,0.67,0.72,0.65,0.66,0.57,314864000000.0,307999000000.0,319030000000.0,343273000000.0,376870000000.0,376837000000.0,466789000000.0,7795687200.000001,5369059400.0,3938463000.0,4963770000.0,5147011800.0,2845161000.0,13062582400.0,2.4758902891407084,1.7432067636583235,1.2345118013979877,1.4460123575113684,1.3657260593838725,0.7550110525240356,2.7983912217297324
Asia,Thailand,0.55,0.56,0.67,0.72,0.65,0.66,0.57,407339000000.0,401296000000.0,413366000000.0,456357000000.0,506754000000.0,543977000000.0,495341000000.0,28862748000.000004,29066850999.99998,27744000000.0,23356493874.0,23694048000.0,26465111862.99998,24965994954.371788,7.085682441406299,7.2432446373749,6.711727621526686,5.118031250534121,4.675650907540937,4.865115963174911,5.040163231868912
Asia,United Arab Emirates,0.55,0.56,0.67,0.72,0.65,0.66,0.57,414105000000.0,370275000000.0,369255000000.0,390517000000.0,427049000000.0,417990000000.0,507535000000.0,10313238200.0,12746810699.999989,13498714400.0,14081691900.0,12802845000.0,13073536300.0,10633855263.65216,2.4904886924813754,3.44252533927486,3.6556619138535695,3.6059100884212474,2.997980325442748,3.127715088877724,2.0951964423443035
Asia,Uzbekistan,0.55,0.56,0.67,0.72,0.65,0.66,0.57,80845385816.0,86196264742.0,86138288633.0,62081322741.0,52870108218.0,60283503705.0,80391853885.0,3265504000.0,3225829000.0,3441535500.0,3763099600.000001,3346527364.8,3091026016.0,1648283707.9610715,4.039196507061172,3.7424231892825657,3.99536089538878,6.06156478929976,6.329715367710656,5.127482355912942,2.0503118516447327
Asia,Vietnam,0.55,0.56,0.67,0.72,0.65,0.66,0.57,233451000000.0,239258000000.0,257096000000.0,281354000000.0,310106000000.0,334365000000.0,408802000000.0,15435240000.000002,16667227999.999985,18535755999.999985,20958360000.0,23702223000.0,25881111111.111248,19255854117.548,6.6117686366732205,6.9662155497412765,7.209663316426543,7.449106819167313,7.643264883620439,7.740376866930225,4.710313089844962
Europe,Belgium,1.10,1.75,1.55,1.40,1.54,1.68,1.29,535390000000.0,462336000000.0,476063000000.0,502765000000.0,543299000000.0,535866000000.0,578604000000.0,16113532500.0,15946867200.0,14125222799.999992,13985431699.999992,13341741200.0,13947505999.999992,40939753200.0,3.0096812603896224,3.449194352159468,2.9670910782816544,2.781703519536959,2.455690365710226,2.6027973411263248,7.075608395379224
Europe,Denmark,1.10,1.75,1.55,1.40,1.54,1.68,1.29,352994000000.0,302673000000.0,313116000000.0,332121000000.0,356841000000.0,346499000000.0,395404000000.0,4657247532.0,4646912149.999999,7255820924.999999,6972885264.0,6539304366.0,7892130862.0,19399305255.0,1.319356003784767,1.5352912714381524,2.317294844402713,2.0995014660319584,1.832554097202956,2.2776778178292,4.906198534916187
Europe,France,1.10,1.75,1.55,1.40,1.54,1.68,1.29,2855960000000.0,2439190000000.0,2472960000000.0,2595150000000.0,2790960000000.0,2728870000000.0,2782910000000.0,61561625507.99999,63353030883.99999,65440669779.99999,60860676736.00001,57959025410.0,59915714736.00001,92799240838.0,2.155549290186137,2.59729790971593,2.6462486162331778,2.34516990293432,2.0766698702238657,2.1956236367434143,3.334611641698797
Europe,Germany,1.10,1.75,1.55,1.40,1.54,1.68,1.29,3889090000000.0,3357590000000.0,3469850000000.0,3690850000000.0,3974440000000.0,3888230000000.0,4072190000000.0,153249192000.0,150579750000.0,141126566000.00003,179585483999.99994,168022498000.0,129931008000.0,272557367000.00003,3.940489728959731,4.484756923865034,4.067223828119372,4.865694460625599,4.227576664888638,3.341649233713026,6.693139735621374
Europe,Italy,1.10,1.75,1.55,1.40,1.54,1.68,1.29,2162010000000.0,1836640000000.0,1877070000000.0,1961800000000.0,2091930000000.0,2011300000000.0,2010430000000.0,74226675000.0,70728840000.0,63829944000.0,60979864029.99997,58564493210.0,50702998920.0,171299109336.0,3.433225331982738,3.85099093997735,3.400509517492688,3.108362933530429,2.7995436372153946,2.52090682245314,8.520520950045512
Europe,Norway,1.10,1.75,1.55,1.40,1.54,1.68,1.29,501736000000.0,388160000000.0,370957000000.0,401745000000.0,439789000000.0,408743000000.0,579267000000.0,11354809135.999989,15487198974.0,13962100330.0,12615619624.999989,12765832800.0,12739992337.999989,16169740554.0,2.2631043289698143,3.9899008073990094,3.763805597414256,3.1402057586279826,2.9027176214048103,3.1168710749786515,2.791414072267193
Europe,Poland,1.10,1.75,1.55,1.40,1.54,1.68,1.29,539081000000.0,477111000000.0,470025000000.0,524641000000.0,588780000000.0,596058000000.0,688177000000.0,19492044000.0,21116904000.0,21708213000.0,20645990424.0,19984656912.0,20824317291.999985,30035815842.0,3.615791318929809,4.425993951093142,4.618523057284187,3.9352605732300754,3.3942486008356263,3.493672980146225,4.364548051155444
Europe,Portugal,1.10,1.75,1.55,1.40,1.54,1.68,1.29,229902000000.0,199394000000.0,206426000000.0,221358000000.0,242313000000.0,239987000000.0,251945000000.0,12780502999.999996,13867304000.0,8666755926.0,8292942311.999999,12322045260.0,10835930556.0,14593718440.0,5.559109098659428,6.954724816193066,4.198480775677482,3.746393765755021,5.085177130405715,4.515215639180456,5.792422330270496
Europe,Romania,1.10,1.75,1.55,1.40,1.54,1.68,1.29,199714000000.0,177884000000.0,185288000000.0,210147000000.0,243316000000.0,251018000000.0,301262000000.0,4168528000.0,4071426000.0,4007070000.000001,3908856720.0,2936880052.0,4564955636.0,7991679872.0,2.087248765735001,2.288809561287131,2.1626171149777647,1.8600583020457109,1.2070229873908829,1.8185770088200848,2.6527341224581926
Europe,Spain,1.10,1.75,1.55,1.40,1.54,1.68,1.29,1371820000000.0,1196160000000.0,1233550000000.0,1313250000000.0,1421700000000.0,1394320000000.0,1397510000000.0,53893686000.0,59874795000.0,38131539000.0,47089522000.0,60950712000.0,62962900000.0,86015237000.0,3.928626641979269,5.00558411918138,3.0912033561671595,3.585724119550733,4.287171133150454,4.515670721211774,6.154892415796668
Europe,Sweden,1.10,1.75,1.55,1.40,1.54,1.68,1.29,581964000000.0,505104000000.0,515655000000.0,541019000000.0,555455000000.0,533880000000.0,585939000000.0,17377764999.99999,17193575000.0,15846839999.999998,14520329999.999998,13449618000.0,13373776000.0,44171988000.0,2.9860549793457998,3.403967301783395,3.07314774413125,2.6838854088303736,2.4213695078809265,2.505015359256762,7.538666653013368
Europe,United Kingdom,1.10,1.75,1.55,1.40,1.54,1.68,1.29,3065220000000.0,2934860000000.0,2699660000000.0,2683490000000.0,2878150000000.0,2857060000000.0,3070670000000.0,46445550000.0,48256416000.0,47963665000.0,49120935458.0,52670284963.99999,53542847628.0,117015928743.9677,1.5152436040479964,1.644249333869418,1.776655764059178,1.830486994846264,1.8300048629849035,1.8740540145464215,3.810762105467787
North America,Canada,0.50,1.03,1.89,1.68,1.19,0.86,1.18,1805750000000.0,1556510000000.0,1527990000000.0,1649270000000.0,1725300000000.0,1743730000000.0,2139840000000.0,67462485000.00001,65766203999.99999,80070365000.0,76100072000.0,72568125000.0,67868940000.0,67268192810.33819,3.735981448151738,4.225234916576186,5.240241428281599,4.614166995094799,4.206116327595201,3.8921702327768632,3.143608531962118
North America,United States,0.50,1.03,1.89,1.68,1.19,0.86,1.18,17550700000000.0,18206000000000.0,18695100000000.0,19477300000000.0,20533100000000.0,21381000000000.0,25462700000000.0,592072832000.0,595990845000.0,643209803999.9996,645234708948.0,691325642052.0,717569556166.0,738996985372.2839,3.3734998148222006,3.273595765132374,3.4405261485629905,3.3127523268009424,3.366883919388694,3.3561084896216267,2.902272678750816
Oceania,Australia,1.10,0.91,1.32,0.78,1.12,1.06,1.00,1467590000000.0,1350580000000.0,1206560000000.0,1326470000000.0,1428270000000.0,1392220000000.0,1675420000000.0,49556616000.0,48632998000.0,44673710000.0,39876071672.0,54412836555.0,48745693104.0,57972189598.66754,3.376734374041796,3.600897244146959,3.7025684590903065,3.0061796853302374,3.809702406057678,3.5012924037867577,3.460158622832934
Oceania,New Zealand,1.10,0.91,1.32,0.78,1.12,1.06,1.00,201313000000.0,178064000000.0,188838000000.0,206556000000.0,211887000000.0,213092000000.0,247234000000.0,5552568000.0,5826820999.999999,5310624000.0,4871865406.0,4596267100.0,4838263560.0,7464125146.091051,2.758176570812615,3.272318379908347,2.812264480665968,2.358617230194233,2.1692067469925007,2.270504552024478,3.019052859271399
South America,Argentina,0.78,1.22,1.44,1.18,1.11,1.16,1.01,526320000000.0,594749000000.0,557532000000.0,643628000000.0,524820000000.0,447755000000.0,632770000000.0,11866842000.0,9038540000.000002,11332728000.0,13674106000.0,19955320000.0,13566852000.0,3981216000.0,2.2546819425444595,1.5197234463614069,2.032659650029057,2.1245356013100736,3.802316984871004,3.029972194615359,0.6291726851778687
South America,Brazil,0.78,1.22,1.44,1.18,1.11,1.16,1.01,2456040000000.0,1802210000000.0,1795690000000.0,2063510000000.0,1916930000000.0,1873290000000.0,1920100000000.0,64756178999.99999,81035236000.0,93521428000.00002,80125429999.99998,86484703000.0,94152450000.0,100742688937.66,2.636609297894171,4.49643693021346,5.208105407949034,3.882967855740946,4.511625515798699,5.026047755553065,5.246741781035363
South America,Chile,0.78,1.22,1.44,1.18,1.11,1.16,1.01,259405000000.0,242497000000.0,249299000000.0,276365000000.0,295403000000.0,278493000000.0,301025000000.0,6647928000.0,6832346999.999993,7437150000.0,6964678512.0,7150456946.999993,7634007521.999999,15793092880.904243,2.562760162679979,2.81749753605199,2.983224962795679,2.5201015005518066,2.42057695656442,2.741184705540175,5.246438960519639
South America,Colombia,0.78,1.22,1.44,1.18,1.11,1.16,1.01,381241000000.0,293492000000.0,282720000000.0,311867000000.0,334198000000.0,323032000000.0,343939000000.0,9647578675.117723,9781189862.66093,10291093453.58865,10115151372.748798,9389891884.709291,15011121352.943983,14250087925.085129,2.530572177472445,3.3326938596830344,3.640030225519472,3.243418307403091,2.809679257419042,4.64694561311077,4.143202115806909
