Continental Region,Country Name,Year,Consumption Price,GDP,Poverty Index,Weather Anomaly
Asia,Malaysia,2014,21559944000.0,338066000000.0,6.377436358580869,0.55
Asia,Malaysia,2015,20358646000.000004,301355000000.0,6.7557020789434405,0.56
Asia,Malaysia,2016,20595432000.0,301255000000.0,6.836544455693681,0.67
Asia,Malaysia,2017,18901080000.0,319109000000.0,5.92307957469078,0.72
Asia,Malaysia,2018,17732455999.999985,358789000000.0,4.942307595829299,0.65
Asia,Malaysia,2019,19045111680.0,365178000000.0,5.215295466868213,0.66
Asia,Malaysia,2022,7903957405.28256,406306000000.0,1.9453213600789947,0.57
Asia,Saudi Arabia,2014,17311702000.0,766606000000.0,2.258226781423573,0.55
Asia,Saudi Arabia,2015,18984105000.0,669484000000.0,2.835632367614461,0.56
Asia,Saudi Arabia,2016,27561150000.0,666000000000.0,4.138310810810811,0.67
Asia,Saudi Arabia,2017,28099586450.000004,714995000000.0,3.930039573703313,0.72
Asia,Saudi Arabia,2018,23756002480.0,846584000000.0,2.8061010460863898,0.65
Asia,Saudi Arabia,2019,22319360594.0,838565000000.0,2.6616136607180123,0.66
Asia,Saudi Arabia,2022,15401060505.2784,1108150000000.0,1.3897992605043,0.57
Asia,Singapore,2014,7795687200.000001,314864000000.0,2.4758902891407084,0.55
Asia,Singapore,2015,5369059400.0,307999000000.0,1.7432067636583235,0.56
Asia,Singapore,2016,3938463000.0,319030000000.0,1.2345118013979877,0.67
Asia,Singapore,2017,4963770000.0,343273000000.0,1.4460123575113684,0.72
Asia,Singapore,2018,5147011800.0,376870000000.0,1.3657260593838725,0.65
Asia,Singapore,2019,2845161000.0,376837000000.0,0.7550110525240356,0.66
Asia,Singapore,2022,13062582400.0,466789000000.0,2.7983912217297324,0.57
Asia,Thailand,2014,28862748000.000004,407339000000.0,7.085682441406299,0.55
Asia,Thailand,2015,29066850999.99998,401296000000.0,7.2432446373749,0.56
Asia,Thailand,2016,27744000000.0,413366000000.0,6.711727621526686,0.67
Asia,Thailand,2017,23356493874.0,456357000000.0,5.118031250534121,0.72
Asia,Thailand,2018,23694048000.0,506754000000.0,4.675650907540937,0.65
Asia,Thailand,2019,26465111862.99998,543977000000.0,4.865115963174911,0.66
Asia,Thailand,2022,24965994954.371788,495341000000.0,5.040163231868912,0.57
Asia,United Arab Emirates,2014,10313238200.0,414105000000.0,2.4904886924813754,0.55
Asia,United Arab Emirates,2015,12746810699.999989,370275000000.0,3.44252533927486,0.56
Asia,United Arab Emirates,2016,13498714400.0,369255000000.0,3.6556619138535695,0.67
Asia,United Arab Emirates,2017,14081691900.0,390517000000.0,3.6059100884212474,0.72
Asia,United Arab Emirates,2018,12802845000.0,427049000000.0,2.997980325442748,0.65
Asia,United Arab Emirates,2019,13073536300.0,417990000000.0,3.127715088877724,0.66
Asia,United Arab Emirates,2022,10633855263.65216,507535000000.0,2.0951964423443035,0.57
Asia,Uzbekistan,2014,3265504000.0,80845385816.0,4.039196507061172,0.55
Asia,Uzbekistan,2015,3225829000.0,86196264742.0,3.7424231892825657,0.56
