Continental Region,Year,Poverty Index,Weather Anomaly
Europe,2022,3.810762105467787,1.29
North America,2014,3.735981448151738,0.50
North America,2015,4.225234916576186,1.03
North America,2016,5.240241428281599,1.89
North America,2017,4.614166995094799,1.68
North America,2018,4.206116327595201,1.19
North America,2019,3.8921702327768632,0.86
North America,2022,3.143608531962118,1.18
North America,2014,3.3734998148222006,0.50
North America,2015,3.273595765132374,1.03
North America,2016,3.4405261485629905,1.89
North America,2017,3.3127523268009424,1.68
North America,2018,3.366883919388694,1.19
North America,2019,3.3561084896216267,0.86
North America,2022,2.902272678750816,1.18
Oceania,2014,3.376734374041796,1.10
Oceania,2015,3.600897244146959,0.91
Oceania,2016,3.7025684590903065,1.32
Oceania,2017,3.0061796853302374,0.78
Oceania,2018,3.809702406057678,1.12
Oceania,2019,3.5012924037867577,1.06
Oceania,2022,3.460158622832934,1.00
Oceania,2014,2.758176570812615,1.10
Oceania,2015,3.272318379908347,0.91
Oceania,2016,2.812264480665968,1.32
Oceania,2017,2.358617230194233,0.78
Oceania,2018,2.1692067469925007,1.12
Oceania,2019,2.270504552024478,1.06
Oceania,2022,3.019052859271399,1.00
South America,2014,2.2546819425444595,0.78
South America,2015,1.5197234463614069,1.22
South America,2016,2.032659650029057,1.44
South America,2017,2.1245356013100736,1.18
South America,2018,3.802316984871004,1.11
South America,2019,3.029972194615359,1.16
South America,2022,0.6291726851778687,1.01
South America,2014,2.636609297894171,0.78
South America,2015,4.49643693021346,1.22
South America,2016,5.208105407949034,1.44
South America,2017,3.882967855740946,1.18
South America,2018,4.511625515798699,1.11
South America,2019,5.026047755553065,1.16
South America,2022,5.246741781035363,1.01
South America,2014,2.562760162679979,0.78
South America,2015,2.81749753605199,1.22
South America,2016,2.983224962795679,1.44
South America,2017,2.5201015005518066,1.18
South America,2018,2.42057695656442,1.11
South America,2019,2.741184705540175,1.16
South America,2022,5.246438960519639,1.01
South America,2014,2.530572177472445,0.78
South America,2015,3.3326938596830344,1.22
South America,2016,3.640030225519472,1.44
South America,2017,3.243418307403091,1.18
South America,2018,2.809679257419042,1.11
South America,2019,4.64694561311077,1.16
South America,2022,4.143202115806909,1.01
