Country Name,Country Code,2014,2015,2016,2017,2018,2019
"Hong Kong, China",HKG,15.3,15.5,15,15.1,15.4,16.1
Hungary,HUN,15.3,16.3,25.1,23.4,17.6,18
Iceland,ISL,8.9,8.9,8.8,9.4,10,12.2
India,IND,22.9,22,20.6,17.6,17,18.2
Indonesia,IDN,14.2,13.7,11.1,11.2,10.7,10.9
"Iran, Islamic Rep.",IRN,10,8.1,6.2,5.8,5.3,5.2
Iraq,IRQ,7.9,7.9,14.3,12,9.5,8.5
Ireland,IRL,24.1,23.4,21.4,20.6,19.7,19
Israel,ISR,14.2,14.3,13.9,12.6,11.9,11.8
Italy,ITA,25.5,23.8,21.6,20.2,19.3,16.8
Jamaica,JAM,41.6,28,20.5,23.3,22.3,26.4
Japan,JPN,29.1,25.9,22.6,21.7,18.6,21.2
Jordan,JOR,22.8,24.5,24.5,23.8,23.9,24.6
Kazakhstan,KAZ,9.8,9.1,9.8,6,5,4.4
Kenya,KEN,23.1,21.6,17.6,20.2,21.5,21.7
Kiribati,KIR,56.2,52.2,46.2,42.4,39.4,41.3
"Korea, Rep.",KOR,10,10.1,9,8.7,8.5,11.4
Kosovo,XKX,15,16.3,13.5,12.8,12.1,9.5
Kuwait,KWT,0.7,0.7,0.8,0.7,0.8,0.7
Kyrgyz Republic,KGZ,3.1,4.2,3.8,3.4,2.9,3.6
Lao PDR,LAO,10.5,11,11.3,11,12.9,13.2
Latvia,LVA,20.1,16.4,15.2,7.4,9.9,11.4
Lebanon,LBN,13.2,13.3,13.2,13.3,13.2,13
Lesotho,LSO,15.7,15.8,13,10.9,13.9,13.9
Liberia,LBR,51.4,55.6,55.6,55.6,39,39
Libya,LBY,14.9,18.2,17.5,14.4,11.6,12.6
Liechtenstein,LIE,..,..,..,..,9.3,9.5
Lithuania,LTU,20.4,12.3,10.7,9.1,8.3,9.5
Luxembourg,LUX,15.5,14.3,12.7,11.3,10.6,12.1
Madagascar,MDG,15.8,15,13.1,14.2,15.7,11.3
Malawi,MWI,14.2,12.1,17.1,13.3,11.5,17.2
Malaysia,MYS,16.8,15.4,14.3,12.9,11.6,12
Maldives,MDV,41.8,33.3,27.3,43.4,44.9,39.4
Mali,MLI,15.8,16.3,15.3,13.9,13.6,14.2
Malta,MLT,26.6,26.8,17.6,17.9,17,19
Marshall Islands,MHL,49.7,40.6,40.6,40.4,39.1,40.6
Mauritania,MRT,21.2,20.9,21.3,19.5,17.7,17.6
Mauritius,MUS,26.6,22.9,21.6,20.3,19.6,20.5
Mexico,MEX,16.5,13.7,6.8,7.1,11.5,16.5
"Micronesia, Fed. Sts.",FSM,56,44,35.1,38.8,37.8,41.4
Moldova,MDA,11.1,10.3,10.5,9,8.8,8.5
Mongolia,MNG,6.9,7.6,6.9,6.3,5.9,5.6
Montenegro,MNE,9.9,9.6,13.3,12.5,13.3,14.1
Morocco,MAR,11.6,13,12.8,12.8,12.3,12.4
Mozambique,MOZ,7.1,7,8.5,8.9,10.4,9.6
Myanmar,MMR,12.5,13,10,9.3,8.3,8.1
Namibia,NAM,18.5,18.1,17.3,15.3,13.5,15.1
Nepal,NPL,12.9,11.4,10.4,13.3,11.4,12
Netherlands,NLD,12,11.7,11.6,10.8,10.6,14.4
New Zealand,NZL,13.8,14.3,13.2,12.2,11.5,12
Nicaragua,NIC,36.1,35.9,33.2,33.2,33.7,33.4
Niger,NER,25.5,25.2,23.6,22.1,19.3,21.3
Nigeria,NGA,15.8,25.9,20.1,16.8,13.6,11.9
North Macedonia,MKD,18.4,18.2,17,13.4,12.8,15.5
Norway,NOR,9.7,12.9,11.3,10.1,10,10.1
Oman,OMN,5.3,5.3,5.9,5.3,5.1,6
Pakistan,PAK,20.8,19.3,19,18.8,18.7,21.7
Palau,PLW,41.2,26.5,25.7,26.1,31.1,32.1
Panama,PAN,24.7,24.2,24.9,21.2,18.8,25.4
Papua New Guinea,PNG,44.3,40.1,35.7,31.5,30.3,28.9
Paraguay,PRY,6.7,6.5,6.2,7.1,6.5,6.6
Peru,PER,14.2,14.5,13.2,12.2,17.1,19.5
Philippines,PHL,20,19.4,17.6,17.7,16.4,18.1
Poland,POL,14.3,15.2,15.1,14.1,13.2,13.7
Portugal,PRT,27.7,29.6,18.3,17.4,25.2,22.2
Puerto Rico,PRI,29.2,24,24.5,24.5,24.5,24.3
Qatar,QAT,3.3,3.5,4.8,4.1,4,3.7
Romania,ROU,9.1,8.7,8.5,8,5.9,9.2
Russian Federation,RUS,12,11.2,9.8,7.8,8.2,8.4
Rwanda,RWA,19.5,18.8,17.9,16.4,13.9,13.7
Samoa,WSM,41.2,41.3,37.1,36.7,39.1,38.5
San Marino,SMR,16.3,16.4,13.7,13.7,13.8,15.5
São Tomé and Principe,STP,35.1,35.7,31.8,17.9,17,18.3
Saudi Arabia,SAU,6.2,6.3,9,8.5,7.6,7.4
Senegal,SEN,23.1,22.6,21.3,17.7,17.3,18.2
Serbia,SRB,16.3,15.6,6.8,6.6,7.3,10.7
Seychelles,SYC,35.9,37.1,28.5,31,31.1,32.1
Sierra Leone,SLE,30.3,32.3,25.9,24.1,20.4,18
Singapore,SGP,16.8,11.3,8.1,10,10.2,5.5
Slovak Republic,SVK,16.1,15.5,14.3,12.9,11.6,15.6
Slovenia,SVN,13.3,13.9,14.7,13.8,14.6,26.6
Solomon Islands,SLB,98.7,99.9,96,67.9,67.4,71.6
Somalia,SOM,..,..,..,..,..,..
South Africa,ZAF,9.9,9.3,15.4,15.1,14.8,16.1
South Sudan,SSD,22,..,..,..,..,..
Spain,ESP,23.1,25.1,15.9,19.1,24.8,26
Sri Lanka,LKA,24.2,20.3,20.1,20.1,16.9,17.3
St. Kitts and Nevis,KNA,40.1,30.4,29.7,30,29.7,30.6
St. Lucia,LCA,37.8,36.8,28.1,31.5,30.9,32.1
St. Vincent and the Grenadines,VCT,40.8,30.1,29.8,29.7,31.5,34.6
Sudan,SDN,6.6,5.6,5.1,5.4,4.4,2.4
Suriname,SUR,7,7.2,15.4,9.1,7.3,7.2
Sweden,SWE,13.7,13.3,12,11,10.2,10.4
Switzerland,CHE,17.4,16.1,15,12.5,12.3,13.6
Syrian Arab Republic,SYR,18.6,8.1,11.5,7.4,6.7,7.8
"Taiwan, China",TWN,14.4,14.1,12.3,10.9,11.9,11.7
Tajikistan,TJK,6.7,7.6,8.2,6.8,6.4,6.3
Tanzania,TZA,16.6,16.7,15.1,13.6,12.6,12.6
Thailand,THA,17.1,16.7,15,12.6,12.6,13.7
Timor-Leste,TLS,21.9,23.5,24,24,21.5,23.4
Togo,TGO,21.4,21.7,19.8,18.4,17,17.6
Tonga,TON,52.2,41.6,33.2,39.9,38.5,36.2
Trinidad and Tobago,TTO,7.2,7.2,7.2,7.3,6.7,6.6
Tunisia,TUN,10.1,10.4,9.6,9,9.7,7.7
Turkey,TUR,14.2,14,14.2,12.1,10.1,8.9
Uganda,UGA,19.3,20.9,22.7,16.5,17.1,16.9
Ukraine,UKR,12.5,13.6,9.1,6.9,7.1,6.4
United Arab Emirates,ARE,10.6,11.7,12.2,12.3,11,10.9
United Kingdom,GBR,15,15.6,15.5,16.1,17.2,17.7
United States,USA,15.2,15.3,16.4,16.6,17.1,18.1
Uruguay,URY,21,19.4,18.9,17.6,16.9,16.7
Uzbekistan,UZB,6.4,6.2,6.5,6.8,5.7,5.2
Vanuatu,VUT,49.7,41.1,33.8,35.1,43.6,38.2
"Venezuela, RB",VEN,954.7,820.7,1038,704.6,653.9,123.8
Vietnam,VNM,12,11.6,11.6,12,12.3,12.5
West Bank and Gaza,PSE,18.2,16,15.8,15.7,17.1,17.6
"Yemen, Rep.",YEM,9.6,..,..,..,..,..
Zambia,ZMB,4.5,4.8,3.8,4.7,4.7,4.6
Zimbabwe,ZWE,12.5,10.5,12.5,12.1,11.9,12.4
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
