# Title: Southern Hemisphere Land and Ocean February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
Year,Anomaly
2014,0.55
2015,0.56
2016,0.67
2017,0.72
2018,0.65
2019,0.66
2020,0.72
2021,0.63
2022,0.57
2023,0.59
