# Title: East N Pacific June - May Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Year,Anomaly
2014,0.61
2015,1.19
2016,1.42
2017,0.84
2018,0.85
2019,0.82
2020,0.76
2021,0.59
2022,0.56
2023,0.40
