# Title: South America July - June Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Year,Anomaly
2014,0.78
2015,1.22
2016,1.44
2017,1.18
2018,1.11
2019,1.16
2020,1.29
2021,1.13
2022,1.01
2023,1.19
