# Title: Northern Hemisphere Land and Ocean February - January Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1901-2000
# Missing: -999
Year,Anomaly
2014,0.82
2015,0.97
2016,1.22
2017,1.32
2018,1.19
2019,1.09
2020,1.28
2021,1.34
2022,1.17
2023,1.20
