# Title: Caribbean Islands June - May Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
# Missing: -999
Year,Anomaly
2014,0.62
2015,0.65
2016,0.92
2017,0.91
2018,0.77
2019,0.55
2020,0.93
2021,0.83
2022,0.74
2023,0.70
