Country Name,Indicator Name,2014,2015,2016,2017,2018,2019,2020,2021,2022
Czech Republic,GDP (current US$),2.09359E+11,1.88033E+11,1.96272E+11,2.18629E+11,2.49001E+11,2.52548E+11,2.45975E+11,2.81791E+11,2.90924E+11
Denmark,GDP (current US$),3.52994E+11,3.02673E+11,3.13116E+11,3.32121E+11,3.56841E+11,3.46499E+11,3.55222E+11,3.98303E+11,3.95404E+11
Djibouti,GDP (current US$),2214679081,2424391785,2604955229,2762581334,2913466732,3088853639,3181071154,3372287462,3515109075
Dominica,GDP (current US$),520207407.4,540737037,576229629.6,521551851.9,554770370.4,611537037,504214814.8,555266666.7,612048148.1
Dominican Republic,GDP (current US$),67179956265,71164826720,75704647977,79998045976,85555390386,88941371980,78844655833,94243426487,1.13642E+11
East Timor,GDP (current US$),1447310400,1594447600,1650619400,1595724300,1563887900,2028551600,2158392500,3621222400,3163324631
Ecuador,GDP (current US$),1.01726E+11,99290381000,99937696000,1.04296E+11,1.07562E+11,1.08108E+11,99291124000,1.06166E+11,1.15049E+11
"Egypt, Arab Rep.",GDP (current US$),3.05595E+11,3.29367E+11,3.32442E+11,2.48363E+11,2.62589E+11,3.18679E+11,3.83818E+11,4.24672E+11,4.76748E+11
El Salvador,GDP (current US$),22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24930080000,29451240000,32488720000
Eritrea,GDP (current US$),,,,,,,,,
Estonia,GDP (current US$),26634083965,22890762090,24072829277,26924385103,30624720196,31081901909,31370395573,37191166152,38100812959
Eswatini,GDP (current US$),4422986447,4063245671,3816019223,4402969226,4666598024,4466214522,3982236726,4748702401,4854167638
Ethiopia(excludes Eritrea),GDP (current US$),55612228234,64589329345,74296745599,81770886909,84269196152,95912607970,1.07658E+11,1.11262E+11,1.26783E+11
Faeroe Islands,GDP (current US$),2914012852,2573906036,2813278761,2980057168,3188601035,3275684065,3248670978,3649878680,
Fiji,GDP (current US$),4857103847,4682480304,4930213788,5353468388,5581425891,5481692622,4477030180,4296235428,4943248200
Finland,GDP (current US$),2.74863E+11,2.34534E+11,2.40771E+11,2.55648E+11,2.75708E+11,2.68515E+11,2.71886E+11,2.96388E+11,2.80826E+11
Fm Sudan,GDP (current US$),76818773785,84984672416,1.02944E+11,1.29719E+11,32333780383,32338079165,27034593750,34229513775,51662241775
France,GDP (current US$),2.85596E+12,2.43919E+12,2.47296E+12,2.59515E+12,2.79096E+12,2.72887E+12,2.63901E+12,2.95788E+12,2.78291E+12
French Polynesia,GDP (current US$),6151996535,5325846342,5497036487,5833352684,6135116261,6022276207,5731835679,6080359305,
Gabon,GDP (current US$),18203966900,14383107763,14023890264,14929487496,16867326390,16874405460,15314577168,20217946921,21071739228
"Gambia, The",GDP (current US$),1229461732,1378176606,1484578897,1504909448,1670671340,1813609679,1812170878,2038414974,2273060863
